id,name,category,diocese,address,region,lat,lng
가실성당,가실성당,순례지,대구대교구,경상북도 칠곡군 왜관읍 가실1길 1,경상북,35.9368165681084,128.404922613249
가톨릭대학교-성신교정-순례지,가톨릭대학교 성신교정 (순례지),순례지,서울대교구,서울특별시 종로구 창경궁로 296-12 (혜화동),서울,37.5849009775207,127.004770664086
가톨릭목포성지,가톨릭목포성지,순교사적지,광주대교구,전라남도 목포시 노송길 35,전라남,34.7997099484571,126.385890842334
가회동-성당-순례지,가회동 성당 (순례지),순례지,서울대교구,서울특별시 종로구 북촌로 57 (가회동),서울,37.5820334750063,126.984646765261
갈곡리-성당,갈곡리 성당,순교사적지,의정부교구,경기도 파주시 법원읍 화합로466번길 25,경기,37.8460686523881,126.915145521735
갈매못순교성지,갈매못순교성지,성지,대전교구,충청남도 보령시 오천면 오천해안로 610,충청남,36.4282110323336,126.508019046774
감곡-매괴-성모-순례지,감곡 매괴 성모 순례지,순례지,청주교구,충북 음성군 감곡면 성당길 10,충북,37.1224445209485,127.641337717917
갑곶-순교-성지,갑곶 순교 성지,성지,인천교구,인천광역시 강화군 강화읍 해안동로1366번길 35,인천,37.7340911300705,126.517438004224
용산-성직자-묘지,용산 성직자 묘지,순례지,서울교구,서울특별시 용산구 효창원로 15길 37,서울,37.5367947003806,126.952304449698
강릉대도호부-관아,강릉대도호부 관아,순례지,춘천교구,강원특별자치도 강릉시 임영로131번길 6 (용강동),강원,37.7529472198585,128.891906196087
강원-감영,강원 감영,순교사적지,원주교구,강원특별자치도 원주시 원일로 85 (일산동),강원,37.347972513213655,127.95041515330618
고창-개갑-순교성지,고창 개갑 순교성지,순교사적지,전주교구,전북특별자치도 고창군 공음면 선운대로 91 (석교리 157-1),전북,35.3860452975838,126.504274538426
겟세마니-피정의-집-신앙의-증인-사제-조선희-필립보,겟세마니 피정의 집 (신앙의 증인 사제 조선희 필립보),순례지,춘천교구,강원특별자치도 인제군 남면 빙어마을길 196,강원,37.9987453276566,128.096904701668
경기감영-터,경기감영 터,순교사적지,서울대교구,서울특별시 종로구 통일로 134 (평동),서울,37.5667350238449,126.966357200132
경상-감영과-옥-터,경상 감영과 옥 터,순교사적지,대구대교구,대구광역시 중구 서성로16길 77 (대안동),대구,35.873503027032,128.592098182956
경주-관아와-옥-터,경주 관아와 옥 터,순교사적지,대구대교구,경상북도 경주시 북문로55번길 24 (성건동),경상북,35.8523971202092,129.208786078552
곡성성당-옥터,곡성성당 옥터,순교사적지,광주대교구,전라남도 곡성군 곡성읍 읍내11길 20,전라남,35.2823674315922,127.292942364998
곰실-공소-춘천교구의-요람,곰실 공소 (춘천교구의 요람),순례지,춘천교구,강원특별자치도 춘천시 동내면 동내로 220,강원,37.8483919351352,127.775083233466
공세리성당,공세리성당,성지,대전교구,충청남도 아산시 인주면 공세리성당길 10,충청남,36.8819461199389,126.913978495622
